,Unnamed: 0,T_ID,T_AID,T_Text
81602,81602,190922,381835,"
تفقد مدير عام الهيئات بالمدينة المنورة د. سلطان المطوع يرافقه قادة العمل الميداني عددا من الأسواق الكبرى ، وتابعوا خلال الجولة  سير العمل حيث رافق أعضاء الهيئة العاملين في المراكز التجارية واطلعوا على سير عملهم.
ووجه المطوع  الأعضاء بالحرص على الالتزام بالأنظمة والتعليمات المرعية والنصح والارشاد والتوجيه بالأسلوب الحسن والكلمة الطيبة وذلك إظهاراً لشعيرة الأمر بالمعروف والنهي عن المنكر خاصة خلال هذه الليالي الفضيلة والعشر الأواخر من شهر رمضان المبارك.
يشار إلى أن الفرع قد اعتمد خطة عمل  وذلك في إطار الخطة العامة للرئاسة بإشراف وتوجيه ومتابعة من الرئيس العام د. عبدالرحمن السند."
69306,69306,15065,30118,"
أكد وزير الخارجية المصري سامح شكري أن الدعم التركي متواصل لمجموعات وميليشيات تقودها عناصر متطرفة معروفة، وبعضها مدرج على قوائم عقوبات مجلس الأمن.
وأشار إلى أن توقيع مذكرتي التفاهم بين الحكومة التركية وفايز السراج مؤخرا يعد مخالفة صارخة لاتفاق الصخيرات وقرارات مجلس الأمن، فضلا عن التهديدات المتواصلة بالتدخل العسكري في ليبيا في محاولة لترجيح كفة طرف مما يعد ضربة للجهود الدولية الرامية للتوصل إلى حل سياسي.
جاء ذلك خلال المؤتمر الصحفي المشترك الذي عقده شكري اليوم الأربعاء مع نظرائه الفرنسي جان إيف لودريان واليوناني نيكوس دندياس والقبرصي نيكوس خريستودوليدس في ختام الاجتماع الوزاري الخماسي التنسيقي الذى عقدوه في وقت سابق لبحث مجمل التطورات المتسارعة على المشهد الليبي مؤخرا.
وقال شكري إن الاجتماع كان فرصة لمناقشة التطورات المقلقة في منطقة شرق المتوسط، وخاصة ما يتصل بالوضع في ليبيا والذي تتأثر به دولنا جميعا بالسلب، مشيرا إلى أننا نعمل على مساعدة الليبيين منذ سنوات من أجل التوصل إلى تفاهم سياسي بين الاطراف والقوى المتصارعة على الساحة الليبية.
ومن جانبه، أكد وزير خارجية فرنسا على أهمية اجتماع اليوم، وأشار إلى أن الاكتشافات الأخيرة من الغاز الطبيعي توفر فرصا جديدة لتنمية المتوسط، ولكن هذا الفضاء البحري تعصف اليوم به التوترات والأزمات.
ولفت إلى أن التوقيع مؤخرا على مذكرة لترسيم الحدود بين تركيا وحكومة الوفاق في ليبيا يثير القلق بشكل كبير، والاتحاد الأوروبي عبر عن موقفه في هذا الصدد، وذكرنا بأن هذا الاتفاق ليس له أي أساس قانوني ويؤثر سلبا على قبرص واليونان.
وأضاف أن تركيا تعد لاعبا هاما في شرق المتوسط ولن تكون كذلك إلا إذا احترمت قانون البحار وأن تنخرط في حوار مع الدول المتشاطئة بالمنطقة.
وأشار إلى وجود ثلاثة مبادئ لتكون منطقة شرق المنطقة منطقة للاستقرار والرفاهية وهى احترام القانون الدولي، واحترام سيادة الدول، والحوار من أجل حل الخلافات وليس من خلال عسكرة أو من خلال القرارات والمواقف الأحادية.
ومن ناحيته.. ذكر وزير خارجية اليونان أن اجتماع اليوم أعطى فرصة جيدة للمشاركة في مناقشات متنوعة حول ليبيا، خاصة أن المنطقة تشهد تصعيدا غير مسبوق و عدم استقرار، ونشعر بالامتنان لمشاركة فرنسا وكذلك حضور إيطاليا.
وأوضح أن بلاده ترى أن هذا السعي يهم كل الاطراف.. مشيرا إلى أن التحرك التركي يتعارض مع القانون الدولي و قرارات الامم المتحدة و قانون البحار و في ليبيا أيضا تتبع تركيا نفس سلوكها في قبرص وغيرها.
وأشار إلى أننا نرى أن الاتفاق التركى مع السراج غير قانوني و هناك عدم مشروعية فى نشر قوات و أسلحة تركية فى ليبيا، وهو ما يعد انتهاكا صريحا لقرارات الامم المتحدة و مجلس الامن و جهود المجتمع الدولى للوصول لحل فى ليبيا، و كذلك يمثل الاتفاق تهديدا للسلم و الامن الدوليين.
وأكد أن اليونان تدعم كل جهود المبعوث الدولى غسان سلامة و ضرورة تعزيز عملية برلين و قد حان الوقت للحوار و الدبلوماسية لتخفيف حدة التوتر.
وقال وزير خارجية قبرص إننا نشهد منذ سنوات الممارسات التركية ومحاولات الهيمنة التي امتدت من شرق المتوسط وشاهدنا تدخلات عسكرية في سوريا، وفى السياسة الليبية مما يمثل تهديدا خطيرا، فتركيا أعربت عن طموحاتها في ليبيا مما يعد خرقا للمواثيق والاتفاقيات الدولية والقانون الدولي للبحار واتفاق الصخيرات.
وشدد على أن ما تقوم به تركيا وممارساتها تشكل تهديدا للاستقرار الإقليمي والاتحاد الأوروبي، مضيفا أن اجتماع اليوم شاهد على خطورة الموقف في شرق المتوسط، فالمحاولات التركية مستمرة في منع قبرص من ممارسة حقوقها في شرق المتوسط وفى المياه الاقتصادية."
15037,15037,92515,185019,"
حققت طالبات جامعة الأميرة نورة بنت عبدالرحمن فوزاً مميزاً ضمن مسابقة ""دل إي إم سي"" في دورتها الثالثة والخاصة بمشروعات التخرج لمنطقة الشرق الأوسط وتركيا وأفريقيا والتي تحمل عنوان ""تصوُّرات المستقبل""، حيث شهدت في عامها الثالث نمواً ملحوظاً مقارنة بالدورتين السابقتين بـ 329 مشروعاً يقدمها أكثر من 1450 طالباً جامعياً، يمثلون 70 جامعة من 18 بلداً.
وذكرت د. عهود الفارس عميد كلية علوم الحاسب والمعلومات بجامعة الأميرة نورة بنت عبدالرحمن، عن فخر الجامعة بقيادة دفة الابتكار والمساهمة بدفع عجلة ريادة الأعمال بين طالباتها، مؤكدة سعي الجامعة المستمر، إلى ""تعزيز مهارات الجيل المستقبلي من المهنيات السعوديات""، وقالت: ""إن تعاوننا مع برنامج ""دل إي إم سي"" للتحالف الأكاديمي يلعب دوراً مهماً في إعداد طالباتنا للنجاح المستقبلي، كما أتاحت مسابقة ""تصورات المستقبل"" أمامهنّ فرصة فريدة لعرض قدراتهن في مجال التقنيات الناشئة، ودفعهنّ إلى تسخير معرفتهن التقنية للعمل وتوظيف التقنيات في الحياة الواقعية بأسلوب إبداعي"".
وتهدف مسابقة ""تصورات المستقبل"" في دورتها الثالثة، التي تقام برعاية المركز المصري للتميّز، إلى تقديم الإلهام والدعم للابتكارات التقنية بين الشباب في المنطقة، وتتيح المسابقة السنوية الفرصة أمام الطلبة اقتراح حلول إبداعية تتصدّى للتحديات الحضرية بالتقنيات المتقدمة، انسجاماً مع أهداف برنامج ""إرث الخير 2020"" من ""دل""، الرامي إلى تطبيق خبراتها وتقنياتها من أجل إحراز التقدم البشري في المجتمعات المحتاجة.
وشهدت المسابقة مشاركة سبع دول جديدة من بينها عُمان، التي حلّت منها الجامعة الألمانية للتكنولوجيا ضمن الفائزين، إضافة إلى جامعة الأميرة نورة بنت عبدالرحمن من المملكة العربية السعودية، وتم اختيار الفائزين من بين مجموعة من 31 مشروعاً متأهلاً إلى النهائيات من تسعة بلدان، اختيرت بعد عملية مراجعة صارمة أجراها 25 أستاذاً من جامعات بارزة من حول العالم، لضمان التقييم العادل لجميع المشروعات المشاركة، وذلك من خلال معايير شملت فكرة المشروع والتنفيذ والعرض التقديمي من قبل خبراء مختصين من ""دل تكنولوجيز""."
114290,114290,124280,248549,"
حقق الموهوبون السعوديون ميداليتين (فضية، وبرونزية) في منافسات أولمبياد المندليف للكيمياء، الذي أقيم في مينسيك في بيلا روسيا، خلال الفترة (من 6 إلى 13 شعبان 1439هـ، الموافق 22 إلى 29 أبريل 2018م).
وحصل الطالب عبدالرحمن فياض آل ادريس على ميدالية فضية، فيما نال الطالب بدر سلمان الملحم ميدالية برونزية، متفوقين بذلك على موهوبي 140 طالباً مشاركاً من مختلف دول العالم من 22 دولة مشاركة في المسابقة.
وكانت المملكة قد شاركت في أولمبياد المندليف للكيمياء، ممثلة بمؤسسة الملك عبدالعزيز ورجاله للموهبة والإبداع ""موهبة"" ووزارة التعليم، وتعد هذه المشاركة السادسة للمملكة، ويبلغ رصيدها من المشاركات السابقة ""سبع ميداليات برونزية، وشهادة تقدير"".
ويأتي هذا الإنجاز الذي يضاف إلى سجل إنجازات موهوبي الوطن، لتأكيد الجهد المبذول من خلال الشراكة المميزة والاستراتيجية بين مؤسسة الملك عبدالعزيز للموهبة والإبداع ""موهبة""، ووزارة التعليم في تنمية قدرات موهوبي وموهوبات الوطن، الذي يؤتي ثماره وينعكس تألقاً على منصات التتويج في المنافسات التي تشارك فيها المملكة.
وقد مثــّل المملكة هذا العام 8 موهوبين وموهوبات من مختلف الإدارات التعليمية، وهم: (عبدالرحمن فياض آل إدريس، بدر سلمان الملحم، علي محمد الأسمري، بندر أحمد الحربي، صالح إبراهيم التويجري، محمد هاشم الخريصي، رباب علي الرفيعي، أسامة محمد العلي).
وبهذه المناسبة، رفع الأمين العام لمؤسسة الملك عبدالعزيز ورجاله للموهبة والإبداع ""موهبة"" الدكتور سعود بن سعيد المتحمي الشكر لخادم الحرمين الشريفين الملك سلمان بن عبدالعزيز آل سعود وسمو ولي عهده الأمين - حفظهما الله - ، على ما يقدمانه من رعاية للموهوبين في المملكة على وجه عام وعلى ما تقدمه القيادة والدولة لمؤسسة الملك عبد العزيز ورجاله للموهوبة والإبداع "" موهبة "" من دعم ورعاية على وجه الخصوص، ما كان له أبلغ الأثر في تعميق شغف الأبناء الموهوبين بالعلوم والبحث والإبداع، وتهيئهم للتفوق في المنافسات الإقليمية والدولية وتمثيل المملكة تمثيلاً يليق بمكانة المملكة، مشيراً إلى الإسهام المباشر لهذا الدعم في تحقيق هذه الإنجازات التي تسجل باسم الوطن، والتي ليست بمستغربة على موهوبينا، وما واكب هذا الإسهام من نجاحات مشهودة في مسيرة عمل المؤسسة وانعكاس ذلك على مساهمتها في تحقيق مستهدفات رؤية المملكة 2030، وهو مايأتي في إطار سعي ""موهبة"" إلى أن يكون التعليم في المملكة العربية السعودية مابين 20 إلى 30 دولة الأولى في جودته على مستوى العالم.
كما توجه المتحمي بالتهنئة إلى الطلاب الفائزين وأسرهم، وكل من ساهم في دعمهم ومساندتهم، حاثا جميع الموهوبين على مواصلة التميز والإبداع لتأخذ المملكة موقعها اللائق في مصاف الدول المتقدمة، مشيداً بما يمتلكه طلبتنا من قدرات فائقة يؤكدها حصولهم على هذا التميز الدائم والمستمر، الأمر الذي سيساهم في بناء قدرات وطنية إبداعية تسهم في بناء مستقبل الوطن الذي يثمن المعرفة والفخر بمن يشارك في إثرائها أو إنتاجها خدمة للإنسانية جمعاء."
12047,12047,3315,6618,"
باشرت الشرطة الألمانية صباح اليوم الإثنين فرض تدابير الإغلاق الجزئي للحدود مع خمس دول بينها فرنسا، في سياق الجهود لاحتواء انتشار فيروس ""كورونا"".
وبدأ الشرطيون الألمان اعتباراً من الساعة 8:00 الكشف على الآليات القادمة من فرنسا والنمسا وسويسرا والدنمارك ولوكسمبورغ وقد تلقوا تعليمات تقضي بعدم السماح بالمرور سوى للبضائع والعاملين في ألمانيا."
52403,52403,10492,20972,"
برعاية صاحب السمو الملكي الأمير فيصل بن بندر بن عبدالعزيز أمير منطقة الرياض تقيم مؤسسة الملك عبدالعزيز ورجاله للموهبة والإبداع ""موهبة"" الحفل الختامي للتصفية النهائية للأولمبياد الوطني للإبداع العلمي (إبداع 2020م) يوم السبت الموافق للحادي والعشرين من شهر جمادى الثاني الجاري وذلك في قاعة الشيخ حمد الجاسر بجامعة الملك سعود بالرياض.
ويشارك في التصفية النهائية 151 طالبا وطالبة بمشروعات بحثية تأهلوا من بين 76 ألفا شاركوا في مراحل التصفيات ويعد الألومبياد الوطني للإبداع العلمي مسابقة علمية سنوية تقوم على أساس التنافس في أحد المجالات العلمية من خلال تقديم مشروعات بحثية يتم تحكيمها من قبل نخبة من الأكاديميين والمختصين بهدف تحديد المشروعات المتميزة لترشيحها للمراحل التنافسية الأعلى وتمثيل المملكة في مسابقة آيسف الدولة ISEF والتي حقق طلاب المملكة فيها خلال الثلاث سنوات الماضية أكثر من 12 جائزة خاصة و16 جائزة كبرى ساهمت في اعتلاء المملكة منصات التتويج في المحافل الدولية العلمية والتي شارك فيها 1800 طالب وطالبة من 80 دولة حول العالم."
177203,177203,47186,94361,"
افتتحت أمس ""سينما الحوش"" في مدينة جدة التاريخية، والتي تستهدف الأسر السعودية التي تزور المكان التاريخي المفعم بالتراث والآثار القديمة من أبنية ومقتنيات وفعاليات تقليدية ضمن أنشطة موسم جدة الذي أطلقته هيئة الترفيه خلال صيف هذا العام، وذلك بعرض عدد من الأفلام القديمة والجديدة منذ العام 2001م وحتى آخر ما أنتجته السينما العالمية، حيث أعلن موسم جدة التابع لهيئة الترفيه السعودية، أن سينما الحوش هي فرصة للاستمتاع بمشاهدة عرض ثمانية أفلام متنوعة الأفكار، منها القديم ومنها الجديد بطريقة مختلفة عن السائد في عالم السينما الحديث والطابع السينمائي المتعارف عليه في صالات العروض المختلفة ذات المواصفات العالمية، المنتشرة في مناطق المملكة، حيث يتم عرض هذه الأفلام السينمائية وسط حوش غير مسقوف في الهواء الطلق، ويأتي افتتاح تلك السينما بعد أيام من انطلاق موسم جدة والتي حفل بالكثير من الأنشطة والفعاليات المتنوعة التي تشرف عليها الهيئة العامة للترفيه."
192778,192778,52755,105499,"
أصدر أمين الاحساء المهندس عادل الملحم ، قراراً يقضي باستحداث 3 إدارات نسائية في البلديات الفرعية التابعة للأمانة "" بلدية وسط الهفوف التاريخي ، بلدية المبرز ، بلدية الهفوف "" على ان تتفرع مهام الإدارة النسائية ببلدية وسط الهفوف الى 4 بلديات أخرى ( الجفر ، العمران ، العيون ، جواثا ) .
وأوضح الملحم ان الأمانة وانطلاقاً من دعم واهتمام قيادتنا الرشيدة – ايدها الله – ، وتوجيهات وزير الشؤون البلدية والقروية الدكتور ماجد القصبي، استحدثت هذه الإدارات نظراً لما تقتضيه مصلحة العمل، وسعياً من الامانة الى تعزيز خططها الاستراتيجية والخدمية ومبادراتها التطويرية ، وخلق بيئة عمل تتوافق مع كافة المتطلبات لسرعة انجاز الاعمال وذلك عبر تدعيم البلديات الفرعية بالكوادر النسائية وانهاء الإجراءات المرتبطة بالأنشطة النسائية التي قد تتسبب في تأخير تلك المهام من خلال النظام المتبع في الفترة الراهنة .
يشار الى انه تم تكليف ( مها السديري مديرة الادارة النسائية ببلدية وسط الهفوف التاريخي، مروه المنصور مديرة الادارة النسائية ببلدية الهفوف ، رشا الحمد مديرة الادارة النسائية ببلدية المبرز)"
102286,102286,120107,240203,"
للمرة الأولى في الإعلام الياباني، تبث محطة تلفاز طوكيو العريقة، اليوم حلقة الرسوم المتحركة ""كنز الحطاب"" التي أنتجتها الشركة السعودية مانجا التابعة لمؤسسة محمد بن سلمان بن عبدالعزيز الخيرية ""مسك ""، وذلك بالتعاون مع شركة توئي أنيميشن وبرعاية من بنك ميزوهو الياباني.
ويعد "" كنز الحطاب"" أول عمل رسوم متحركة متكامل يتم إنتاجه بالتعاون بين المملكة واليابان، وقد تم تحرير العمل ليكون حلقة تلفزيونية مدتها 22 دقيقة، من المقرر بثها اليوم الأحد 20 مايو على مستوى اليابان في وقت الذروة، حيث يعرض العمل حكاية تراثية من الجزيرة العربية، ويندرج ضمن برامج وأنشطة شركة مانجا لإنتاج محتوى إبداعي إيجابي وهادف يجذب الأجيال الصاعدة، ويترجم الثقافة المحلية الأصيلة إلى العالم عبر أحد أبرز لغات العصر الحديث.
وقال كبير المنتجين في تلفاز طوكيو كائي ياما :"" سعداء بأن حلقة كنز الحطاب سيتم عرضها للمرة الأولى على شاشات التلفاز في اليابان حتى قبل بثها في العالم العربي، القصة ذات صبغة عالمية وتذكرنا بالحكايات التراثية القديمة الرائعة من اليابان وذات رسالة هادفة، وسوف سيتفاعل المشاهدون في اليابان معها ويحبونها"".
من جانبه أوضح الرئيس التنفيذي لشركة مانجا للإنتاج الدكتور عصام بخاري أن الشركة تسعى لإيصال الثقافة السعوية إلى العالم في صورة إبداعية تجذب الأجيال الصاعدة وتقدم لها رسائل هادفة بصناعة وإنتاج سعودي وبالتعاون مع كبرى دور الإنتاج العالمية، قائلا :"" إن بث حلقة كنز الحطاب في محطة شهيرة مثل تلفاز طوكيو يعد خطوة مهمة في تصدير الثقافة السعودية كونها في بلد مثل اليابان عرف عنه بأنه معقل صناعة الرسوم المتحركة عالميا"".
من جهته قال رئيس بنك ميزوهو في المملكة توشيهارو فوجيوارا، إننا نعتز بأن نكون رعاة لهذا المنتج السعودي الياباني، والذي يندرج كخطوة مهمة تحت نفس الرؤية التي تسعى إلى تطوير صناعة المحتوى في المملكة"".
مما يذكر أن شركة مانجا للإنتاج وقعت عقدين مع شركة توئي أنيميشن خلال فعاليات منتدى مسك العالمي العام الماضي لإنتاج مشترك لمسلسل متكامل وفيلم سينمائي بأسلوب الرسوم المتحركة ليتم بثها في اليابان والعالم العربي وعدد من الدول حول العالم.
إلى ذلك، قامت وكالة اليابان للتجارة الدولية (جيترو) بدعوة شركة مانجا للإنتاج ممثلة لمنطقة الشرق الأوسط ضمن 12 شركة حول العالم لحضور اجتماعات الأعمال المصاحبة لفعاليات أنيمي جابان لهذا العام 2018م ، إلى جانب العديد من الشركات اليابانية في مجالات الإنتاج والبث والصناعات ذات العلاقة ولبحث سبل التعاون والشراكات المستقبلية في مجالات صناعة المحتوى."
37736,37736,33487,66963,"
أصدر وزير الدولة لشؤون الخدمات ووزير التجارة والصناعة الكويتي خالد الروضان قراراً برفع المستوى الأمني للمرافق المينائية من (1) إلى المستوى (2).
وقالت مؤسسة الموانئ الكويتية في بيان صحفي الجمعة إن القرار الوزاري الذي حمل رقم (448) ينص على رفع المستوى الأمني للمرافق المينائية للبلاد جميعها سواء التجارية أو النفطية.
وأضافت أن القرار يشدد على اتخاذ كل جهة الإجراءات والتدابير اللازمة لحماية السفن والمرافق المينائية.
وأوضحت أن هذا القرار يأتي حفاظاً على أمن البلاد وسلامة أراضيها وموانئها في ظل الأوضاع التي تمر بها المنطقة.
كانت وزارة الدفاع الكويتية قد أعلنت في وقت سابق أن الجيش ينفذ تدريبات جوية وبحرية للوصول إلى أعلى درجات الجهوزية والكفاءة القتالية نظراً للظروف التي تمر بها المنطقة."
