,Unnamed: 0,A_ID,A_Link,A_LinkNum,A_Timestr,A_Cat,A_Auth,A_Title1,A_Title2,A_Paragraphs,A_Words,A_Characters
345416,345416,115865,http://www.alriyadh.com/1751024,1751024,"&nbsp; 
						
													الأحد 16  شعبان   1440هـ   -21  ابريل   2019م",الدولية,صبي فلسطيني يستخدم مقلاعًا لرمي الحجارة أثناء اشتباكات مع الاحتلال شرق غزة   (أ ف ب),,"قلق فلسطيني إزاء الأوضاع
 المعيشية في مخيمات اللاجئين بسورية",4,220,1367
109377,109377,232774,http://www.alriyadh.com/1686829,1686829,"&nbsp; 
						
													2018-06-09 16:12:21",دنيا الرياضة,"الرياض - ""الرياض""",,ختام بطولة مؤسسة النقد العربي السعودي,4,211,1314
179096,179096,53769,http://www.alriyadh.com/1784995,1784995,"&nbsp; 
						
													الأربعاء 2 ربيع الأول   1441هـ   - 30  اكتوبر   2019م",متابعات,خادم الحرمين لدى استقباله الأمير فيصل بن فرحان والمهندس صالح الجاسر بحضور ولي العهد,,أمام خادم الحرمين.. وزيرا الخارجية والنقل يؤديان القسم,2,185,1119
217407,217407,261319,http://www.alriyadh.com/1671133,1671133,"&nbsp; 
						
													2018-03-26 18:15:52",أخبار المناطق,الظهران - عوض المالكي  (تصوير - زكريا العليوي),بمشاركة 64 شركة,نائب أمير الشرقية يفتتح يوم المهنة بجامعة الملك فهد,10,312,1932
457834,457834,440825,http://www.alriyadh.com/1572150,1572150,"&nbsp; 
						
													الأحد 22 جمادى الأولى 1438 هـ - 19 فبراير 2017م",الاقتصاد,"الرياض - ""الرياض""",,مسقط: ما يشاع عن الريال العماني غير صحيح,7,318,1883
222031,222031,69877,http://www.alriyadh.com/1776234,1776234,"&nbsp; 
						
													2019-09-12 00:08:45",دنيا الرياضة,الطائف - واس,تحت رعاية سمو ولي العهد..,اختتام منافسات مهرجان ولي العهد للهجن الثاني السبت المقبل,3,244,1521
55818,55818,8483,http://www.alriyadh.com/1809710,1809710,"&nbsp; 
						
													الأربعاء 16 رجب   1441هـ   - 11  مارس   2020م",المحليات,سفارة المملكة بواشنطن تحتفي باليوم العالمي للمرأة,,151 دبلوماسية سعودية يعملن في الخارجية,21,968,5992
396255,396255,429334,http://www.alriyadh.com/1578417,1578417,"&nbsp; 
						
													2017-03-16 14:57:28",أخبار المناطق,الأفلاج - بريكان البريكان,يشمل 471 أسرة,مستشفى الأفلاج يبدأ بالمسح الصحي السكاني,4,151,907
357904,357904,297648,http://www.alriyadh.com/1651084,1651084,"&nbsp; 
						
													2018-01-01 16:58:22",أخبار المناطق,فيصل بن سلمان مترئساً اجتماع إدارة جمعية تكافل الخيرية لرعاية الأيتام,,فيصل بن سلمان يعتمد زيادة الكفالة المعيشية لأيتام المدينة 50 %,6,345,2097
217169,217169,261078,http://www.alriyadh.com/1671271,1671271,"&nbsp; 
						
													الثلاثاء 10 رجب   1439هـ   - 27  مارس   2018م",المحليات,,,تكريم في المؤتمر الإسلامي السابع برعاية ملك المغرب.. وجائزة من الإيسيسكو,7,329,2331
424405,424405,538487,http://www.alriyadh.com/1516111,1516111,"&nbsp; 
						
													الأحد 28 رمضان 1437 هـ- 03 يوليو 2016م",خزامى الصحارى,شجرة العوشز جعلتها الأساطير مساكن الجن,«دغة» نموذج للتقارب بين التراث العربي والأساطير الشعبية,سلامة النية تخرج صاحبها من أخطاء نفسه وكيد أعدائه,34,1123,6137
487302,487302,446572,http://www.alriyadh.com/1569018,1569018,"&nbsp; 
						
													 الثلاثاء 10 جمادى الأولى 1438 هـ - 7 فبراير 2017م",المحليات,,,المبتعثون في أميركا يمثلون المملكة في مجلس الأمم المتحدة للشباب,5,274,1755
360436,360436,298032,http://www.alriyadh.com/1650862,1650862,"&nbsp; 
						
													2017-12-31 18:05:51",الدولية,متابعة - الرياض الإلكتروني,,قادة نظام الملالي يعترفون بتوسع الانتفاضة العارمة.. والذعر والتخبط واضح أكثر من أي وقت,7,320,2017
165473,165473,48989,http://www.alriyadh.com/1787606,1787606,"&nbsp; 
						
													الأربعاء  16 ربيع الأول   1441هـ   - 13  نوفمبر   2019م",الأخــيــرة,جدة - أحمد الهلالي,,التقنية تحد من مخاطر عمليات التجميل,5,250,1531
309515,309515,103184,http://www.alriyadh.com/1757963,1757963,"&nbsp; 
						
													الثلاثاء 23  رمضان   1440هـ   - 28  مايو   2019م",دنيا الرياضة,الرياض – سلطان السيف,,اتحاد الإعلام الرياضي.. فرص متاحة للتطوير,3,238,1476
130920,130920,36053,http://www.alriyadh.com/1794670,1794670,"&nbsp; 
						
													2019-12-21 22:30:18",دنيا الرياضة,ميلان - رويترز,,لوكاكو يقود إنتر للفوز على جنوة ومزاحمة يوفنتوس في الصدارة,5,180,1050
309678,309678,284909,http://www.alriyadh.com/1658085,1658085,"&nbsp; 
						
													2018-01-29 16:21:20",أخبار المناطق,الميموني مقدماً التعازي لذوي الشهيد,,محافظ الطائف يعزي ذوي الشهيد كعبي,2,58,330
291064,291064,514537,http://www.alriyadh.com/1529271,1529271,"&nbsp; 
						
													الأحد 25 ذو القعدة 1437 هـ - 28 أغسطس 2016م",المحليات,عباس صالح,,العنزي: الأمن يبدأ من المدرسة.. وعلينا تبصير النشء بجهود حماة الثغور,3,202,1348
266272,266272,509859,http://www.alriyadh.com/1531816,1531816,"&nbsp; 
						
													الخميس 6 ذو الحجة 1437 هـ - 08 سبتمبر 2016م",المحليات,العمال استغلوا سكنهم لصناعة الشمة,,الإطاحة بعمالة تروج «الشمة» بالمدينة المنورة,1,70,434
448812,448812,439530,http://www.alriyadh.com/1572844,1572844,"&nbsp; 
						
													الأربعاء 25 جمادى الأولى 1438 هـ - 22 فبراير 2017م",المحليات,الرياض - عبدالسلام البلوي,شوريَّة تقترح إعداد مادة دراسية للتربية الرياضية لنبذ العنف والتعصب,تساؤلات عن توظيف معهد الإدارة لأجانب.. ومطالبات بتخصيص بيوت الشباب,6,430,2636
301816,301816,99613,http://www.alriyadh.com/1759981,1759981,"&nbsp; 
						
													الاثنين 7 شوال   1440هـ   - 10  يونيو   2019م",الدولية,سيئول - د ب أ,,بيونغ يانغ تنتقد التدريبات الكورية,2,61,439
512568,512568,178251,http://www.alriyadh.com/1716845,1716845,"&nbsp; 
						
													2018-11-09 17:43:49",أخبار المناطق,"جدة - "" مكتب الرياض""",,""" مدير تعليم جدة"" يكرم الفائزين في يوم الجودة",1,63,394
335167,335167,522522,http://www.alriyadh.com/1524885,1524885,"&nbsp; 
						
													الأربعاء 07 ذو القعدة 1437 هـ - 10 أغسطس 2016م",المحليات,الأمير سعود بن نايف في المجلس الأسبوعي,استقبل شقيق الشهيد الحربي ونوه بتضحيات رجال الأمن,أمير الشرقية يحث مسؤولي الأندية الموسمية على تعليم الأبناء حب الوطن والمحافظة عليه,9,381,2202
352363,352363,118677,http://www.alriyadh.com/1749472,1749472,"&nbsp; 
						
													2019-04-13 21:38:18",الاقتصاد,جدة - وليد العمير,ليكون الأكبر في الشرق الأوسط...,وزير الطاقة: قريباً سيتم التوسع في ميناء مدينة الملك عبدالله الاقتصادية,7,279,1635
550779,550779,458965,http://www.alriyadh.com/1559603,1559603,"&nbsp; 
						
													 الأحد 03 ربيع الآخر 1438 هـ - 1 يناير 2017م",متابعات,عبدالله المجماج,,منجزات وطنية كبرى,4,114,745
13890,13890,464340,http://www.alriyadh.com/1556691,1556691,"&nbsp; 
						
													2016-12-21 01:59:24",المحليات,جازان - عادل الزائري,,سرقة أجهزة طبية ومعدات بملايين الريالات من مستشفى جازان,4,126,793
463392,463392,324072,http://www.alriyadh.com/1636715,1636715,"&nbsp; 
						
													2017-11-09 16:24:51",المحليات,الرياض - عايض الطريسي,,ختام تدريب 100 طالب على تكنولوجيا الروبوتات,3,135,835
291551,291551,409730,http://www.alriyadh.com/1589646,1589646,"&nbsp; 
						
													السبت 3 شعبان  1438هـ - 29 إبريل 2017م",الاقتصاد,"الرياض - ""الرياض",,وفد سعودي يشارك في مؤتمر النفط والغاز بالولايات المتحدة الأميركية,4,300,1905
147778,147778,488855,http://www.alriyadh.com/1543282,1543282,"&nbsp; 
						
													الأربعاء 25 محرم 1438 هـ - 26 أكتوبر 2016م",ثقافة اليوم,مسرح الشباب,مرايا ثقافية,دبي تفتتح مهرجان مسرح الشباب,1,89,612
181169,181169,54818,http://www.alriyadh.com/1784418,1784418,"&nbsp; 
						
													2019-10-27 15:51:01",الدولية,بيروت - د ب أ,,الاحتجاجات تتواصل في لبنان .. والمصارف تواصل الإغلاق غدا,7,143,905
390532,390532,133115,http://www.alriyadh.com/1741555,1741555,"&nbsp; 
						
													الاثنين  27  جمادى الآخرة   1440هـ   - 4  مارس   2019م",دنيا الرياضة,,,أبرز مباريات اليوم,0,0,0
427320,427320,314950,http://www.alriyadh.com/1641633,1641633,"&nbsp; 
						
													الثلاثاء 10 ربيع الأول 1439هـ - 28  نوفمبر 2017م -  7 برج القوس",دنيا الرياضة,الدمام - سطام العتيبي,,"الخليج يقترب
من يوسف خميس",2,63,388
58428,58428,218354,http://www.alriyadh.com/1694770,1694770,"&nbsp; 
						
													الأربعاء 12  ذو القعدة   1439هـ   - 25  يوليو   2018م",ثقافة اليوم,الرياض - حسين الحربي,شذرات ثقافية,«الفيصل» تحتفي بعودة «السينما»,2,78,484
489518,489518,447217,http://www.alriyadh.com/1568673,1568673,"&nbsp; 
						
													2017-02-05 13:44:13",المحليات,الرياض - واس,,القتل قصاصاً بجانٍ قتل مواطناً في الطائف,3,133,731
46153,46153,4939,http://www.alriyadh.com/1811616,1811616,"&nbsp; 
						
													السبت  26 رجب   1441هـ   - 21 مارس   2020م",الأخــيــرة,أميرة آل رشود,,احرصوا على النشاط الرياضي في منازلكم,5,200,1204
87997,87997,226879,http://www.alriyadh.com/1690079,1690079,"&nbsp; 
						
													الجمعة  15  شوال   1439هـ   -29  يونيو   2018م",دنيا الرياضة,موسكو - عماد الصائغ,,شاكيري الجناح السويسري الذي حقق كل الألقاب الكروية مع الأندية,5,414,2334
